api8,lease_name,well_no,field_name,month_on_production,linear_regression_ml_forecast_oil_bbl,naive_last_rate_forecast_oil_bbl,trailing_3mo_forecast_oil_bbl,trailing_6mo_forecast_oil_bbl
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),83,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),84,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),85,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),86,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),87,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),88,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),89,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),90,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),91,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),92,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),93,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),94,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),95,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),96,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),97,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),98,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),99,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),100,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),101,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),102,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),103,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),104,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),105,0.0,0.0,0.0,0.0
